DEPTH,NPHI,RHOB,GR,RT,PEF,CALI
3209.7,0.092,2.574,29.045,4.34,6.928,8.547
3209.8,0.078,2.578,24.28,5.091,6.955,8.547
3209.9,0.068,2.585,19.088,6.276,6.916,8.547
3210.0,0.063,2.594,15.069,7.81,6.851,8.535
3210.1,0.061,2.599,11.435,8.975,6.814,8.538
3210.2,0.062,2.599,9.972,8.911,6.831,8.547
3210.3,0.066,2.593,10.513,8.631,6.878,8.547
3210.4,0.072,2.587,11.012,8.229,6.937,8.547
3210.5,0.078,2.583,13.071,8.096,6.981,8.547
3210.6,0.082,2.583,15.142,8.149,7.012,8.547
3210.7,0.084,2.585,17.285,8.056,7.066,8.547
3210.8,0.084,2.589,19.193,8.093,7.131,8.547
3210.9,0.082,2.594,19.611,7.924,7.176,8.547
3211.0,0.08,2.598,19.419,7.612,7.172,8.547
3211.1,0.077,2.598,18.907,7.387,7.115,8.547
3211.2,0.076,2.595,16.956,7.387,7.023,8.547
3211.3,0.075,2.59,15.142,7.644,6.933,8.547
3211.4,0.075,2.586,12.993,7.395,6.914,8.547
3211.5,0.076,2.586,12.828,7.31,6.988,8.547
3211.6,0.077,2.587,12.839,7.42,7.092,8.547
3211.7,0.079,2.588,12.727,7.069,7.124,8.547
3211.8,0.083,2.585,13.689,6.943,7.05,8.547
3211.9,0.086,2.58,15.37,6.773,6.939,8.547
3212.0,0.091,2.576,17.298,6.64,6.894,8.547
3212.1,0.094,2.573,18.375,6.329,6.951,8.547
3212.2,0.096,2.572,18.877,6.486,7.044,8.568
3212.3,0.099,2.572,20.887,6.548,7.112,8.563
3212.4,0.099,2.572,21.295,6.316,7.155,8.562
3212.5,0.096,2.572,20.45,5.592,7.183,8.547
3212.6,0.092,2.576,18.827,5.592,7.211,8.547
3212.7,0.084,2.581,17.492,5.727,7.263,8.562
3212.8,0.078,2.588,15.835,6.137,7.335,8.547
3212.9,0.071,2.593,13.393,7.032,7.397,8.547
3213.0,0.066,2.597,10.844,7.812,7.42,8.547
3213.1,0.063,2.599,9.829,7.848,7.405,8.547
3213.2,0.063,2.6,8.481,7.592,7.368,8.547
3213.3,0.063,2.599,8.32,7.216,7.312,8.547
3213.4,0.065,2.597,8.144,7.538,7.251,8.547
3213.5,0.066,2.594,7.75,7.68,7.2,8.547
3213.6,0.068,2.594,9.245,7.596,7.171,8.547
3213.7,0.072,2.594,10.402,7.656,7.151,8.547
3213.8,0.076,2.594,11.325,7.411,7.12,8.547
3213.9,0.08,2.593,12.784,7.633,7.085,8.57
3214.0,0.083,2.59,15.203,7.703,7.07,8.578
3214.1,0.086,2.587,18.554,7.579,7.102,8.562
3214.2,0.085,2.587,20.025,7.048,7.173,8.555
3214.3,0.083,2.591,18.616,6.499,7.258,8.547
3214.4,0.08,2.596,18.263,6.329,7.329,8.547
3214.5,0.078,2.6,16.943,6.594,7.358,8.547
3214.6,0.075,2.601,14.187,7.284,7.331,8.547
3214.7,0.073,2.6,13.145,7.516,7.265,8.547
3214.8,0.073,2.6,12.699,7.305,7.2,8.547
3214.9,0.073,2.602,13.402,7.302,7.188,8.547
3215.0,0.074,2.604,14.33,7.244,7.228,8.547
3215.1,0.075,2.605,13.41,7.256,7.281,8.547
3215.2,0.076,2.603,12.703,7.083,7.312,8.547
3215.3,0.077,2.601,13.429,6.957,7.342,8.547
3215.4,0.076,2.601,13.971,6.894,7.407,8.547
3215.5,0.075,2.602,12.822,6.774,7.496,8.547
3215.6,0.074,2.603,11.305,6.633,7.557,8.547
3215.7,0.073,2.604,9.215,6.512,7.563,8.547
3215.8,0.071,2.604,8.436,6.413,7.561,8.547
3215.9,0.068,2.602,7.152,6.465,7.604,8.547
3216.0,0.064,2.599,5.712,6.42,7.67,8.562
3216.1,0.065,2.595,4.514,6.335,7.696,8.547
3216.2,0.066,2.592,4.229,6.129,7.621,8.547
3216.3,0.066,2.59,3.942,6.096,7.545,8.547
3216.4,0.067,2.591,3.41,6.086,7.469,8.547
3216.5,0.069,2.592,3.09,6.071,7.459,8.547
3216.6,0.07,2.591,3.538,6.109,7.504,8.547
3216.7,0.072,2.587,3.457,5.994,7.577,8.547
3216.8,0.073,2.582,3.5,5.75,7.645,8.553
3216.9,0.073,2.578,3.23,5.932,7.705,8.555
3217.0,0.072,2.578,2.994,5.609,7.753,8.547
3217.1,0.072,2.581,3.249,5.852,7.771,8.547
3217.2,0.071,2.585,3.125,5.871,7.749,8.547
3217.3,0.071,2.59,2.687,5.964,7.716,8.547
3217.4,0.07,2.594,3.049,6.09,7.703,8.547
3217.5,0.067,2.598,3.198,6.152,7.731,8.547
3217.6,0.064,2.603,3.535,6.374,7.788,8.547
3217.7,0.062,2.607,3.39,6.501,7.867,8.547
3217.8,0.061,2.61,3.608,6.701,7.948,8.547
3217.9,0.06,2.614,3.53,6.891,8.002,8.547
3218.0,0.06,2.618,3.987,6.985,7.987,8.547
3218.1,0.06,2.621,4.422,7.135,7.899,8.547
3218.2,0.06,2.622,4.772,7.152,7.772,8.547
3218.3,0.06,2.622,5.293,7.374,7.664,8.547
3218.4,0.06,2.623,5.68,7.426,7.62,8.547
3218.5,0.061,2.626,6.344,7.707,7.644,8.547
3218.6,0.062,2.629,7.634,7.688,7.702,8.547
3218.7,0.064,2.631,9.156,7.685,7.758,8.547
3218.8,0.066,2.631,10.329,7.71,7.784,8.547
3218.9,0.069,2.63,11.956,7.782,7.761,8.547
3219.0,0.073,2.629,14.064,7.861,7.693,8.547
3219.1,0.076,2.629,16.685,7.938,7.608,8.547
3219.2,0.078,2.63,19.071,7.979,7.547,8.547
3219.3,0.078,2.632,21.345,7.798,7.537,8.547
3219.4,0.076,2.633,22.362,7.557,7.56,8.547
3219.5,0.075,2.634,21.808,7.528,7.58,8.547
3219.6,0.074,2.634,22.705,7.515,7.583,8.551
3219.7,0.075,2.634,21.473,7.399,7.566,8.549
3219.8,0.076,2.636,20.72,7.419,7.567,8.547
3219.9,0.078,2.64,20.503,7.422,7.616,8.547
3220.0,0.08,2.644,21.013,7.355,7.689,8.547
3220.1,0.081,2.643,21.247,6.976,7.688,8.547
3220.2,0.084,2.635,21.77,6.399,7.595,8.547
3220.3,0.089,2.625,21.749,5.885,7.488,8.547
3220.4,0.095,2.618,21.268,5.701,7.405,8.547
3220.5,0.102,2.613,22.94,5.62,7.355,8.552
3220.6,0.106,2.609,24.754,5.462,7.334,8.555
3220.7,0.108,2.605,26.27,5.145,7.332,8.547
3220.8,0.106,2.602,27.048,4.527,7.335,8.562
3220.9,0.107,2.597,27.39,3.959,7.331,8.547
3221.0,0.105,2.593,25.981,3.676,7.324,8.547
3221.1,0.103,2.589,24.958,3.882,7.328,8.547
3221.2,0.101,2.587,24.808,3.748,7.357,8.555
3221.3,0.097,2.585,23.722,3.847,7.389,8.578
3221.4,0.099,2.585,24.141,3.901,7.394,8.555
3221.5,0.098,2.587,24.702,4.152,7.378,8.547
3221.6,0.097,2.588,24.013,4.21,7.379,8.547
3221.7,0.095,2.59,22.477,4.075,7.426,8.547
3221.8,0.094,2.59,22.344,4.09,7.489,8.547
3221.9,0.093,2.589,21.043,4.17,7.52,8.547
3222.0,0.093,2.589,22.287,4.233,7.533,8.547
3222.1,0.094,2.59,23.09,4.187,7.559,8.547
3222.2,0.095,2.592,22.302,4.254,7.61,8.547
3222.3,0.096,2.593,22.305,4.297,7.657,8.547
3222.4,0.096,2.592,21.942,4.322,7.67,8.547
3222.5,0.096,2.593,22.159,4.287,7.64,8.547
3222.6,0.095,2.594,22.367,4.226,7.572,8.528
3222.7,0.094,2.596,21.886,4.255,7.492,8.547
3222.8,0.094,2.596,22.354,4.203,7.422,8.547
3222.9,0.096,2.595,22.875,4.186,7.358,8.547
3223.0,0.098,2.594,23.425,4.255,7.296,8.547
3223.1,0.101,2.594,23.464,4.177,7.227,8.547
3223.2,0.103,2.595,24.186,4.2,7.162,8.547
3223.3,0.105,2.596,24.547,4.147,7.118,8.547
3223.4,0.107,2.596,25.56,3.987,7.113,8.547
3223.5,0.109,2.597,27.856,4.007,7.158,8.547
3223.6,0.112,2.597,28.556,3.859,7.238,8.547
3223.7,0.114,2.596,28.198,3.841,7.322,8.547
3223.8,0.116,2.594,28.214,3.746,7.364,8.547
3223.9,0.117,2.592,29.363,3.627,7.343,8.547
3224.0,0.118,2.592,31.012,3.629,7.28,8.547
3224.1,0.119,2.591,30.858,3.476,7.214,8.547
3224.2,0.12,2.589,30.177,3.393,7.177,8.547
3224.3,0.122,2.585,31.119,3.516,7.153,8.547
3224.4,0.122,2.583,31.336,3.377,7.112,8.566
3224.5,0.125,2.582,29.954,3.28,7.062,8.555
3224.6,0.124,2.582,30.875,3.243,7.02,8.562
3224.7,0.126,2.581,31.393,3.143,7.002,8.547
3224.8,0.127,2.579,32.474,3.16,6.982,8.547
3224.9,0.128,2.576,33.129,3.291,6.947,8.557
3225.0,0.128,2.574,32.479,3.415,6.884,8.563
3225.1,0.127,2.572,33.574,3.317,6.794,8.57
3225.2,0.128,2.57,34.25,3.35,6.704,8.547
3225.3,0.126,2.565,33.953,3.09,6.66,8.563
3225.4,0.126,2.561,35.044,3.351,6.679,8.566
3225.5,0.127,2.563,35.294,3.453,6.746,8.555
3225.6,0.125,2.57,35.305,3.751,6.819,8.562
3225.7,0.126,2.577,35.163,3.702,6.878,8.552
3225.8,0.122,2.58,34.171,3.758,6.927,8.578
3225.9,0.119,2.578,34.177,3.704,6.983,8.57
3226.0,0.115,2.575,32.292,3.796,7.046,8.562
3226.1,0.112,2.574,30.206,3.965,7.108,8.547
3226.2,0.106,2.577,28.432,4.441,7.139,8.547
3226.3,0.1,2.581,27.741,4.765,7.119,8.547
3226.4,0.096,2.586,27.103,4.874,7.079,8.547
3226.5,0.094,2.591,26.976,4.99,7.068,8.547
3226.6,0.093,2.597,26.412,4.921,7.121,8.547
3226.7,0.093,2.601,26.796,4.932,7.209,8.547
3226.8,0.094,2.603,27.074,4.95,7.273,8.547
3226.9,0.095,2.605,26.75,4.986,7.288,8.547
3227.0,0.096,2.608,26.772,5.017,7.284,8.547
3227.1,0.095,2.61,26.757,5.044,7.298,8.563
3227.2,0.097,2.611,26.585,4.945,7.35,8.578
3227.3,0.1,2.609,26.598,4.846,7.391,8.578
3227.4,0.103,2.604,26.669,4.668,7.398,8.578
3227.5,0.109,2.597,27.648,4.5,7.364,8.578
3227.6,0.116,2.591,29.282,4.264,7.308,8.578
3227.7,0.122,2.586,30.781,4.225,7.249,8.578
3227.8,0.129,2.582,32.481,4.057,7.203,8.578
3227.9,0.136,2.579,33.703,3.918,7.173,8.578
3228.0,0.141,2.576,36.314,3.548,7.147,8.578
3228.1,0.146,2.572,38.562,3.044,7.115,8.578
3228.2,0.145,2.568,38.466,2.788,7.075,8.597
3228.3,0.15,2.565,38.891,2.795,7.038,8.578
3228.4,0.147,2.565,40.1,2.741,7.027,8.602
3228.5,0.145,2.567,40.452,2.804,7.057,8.625
3228.6,0.141,2.57,39.306,2.953,7.125,8.625
3228.7,0.138,2.572,37.691,3.04,7.197,8.609
3228.8,0.13,2.574,36.117,2.983,7.237,8.578
3228.9,0.119,2.574,34.332,3.032,7.242,8.578
3229.0,0.108,2.577,30.81,3.177,7.242,8.57
3229.1,0.099,2.583,29.166,3.632,7.25,8.57
3229.2,0.096,2.59,27.718,3.94,7.257,8.559
3229.3,0.094,2.596,25.881,4.322,7.244,8.547
3229.4,0.095,2.602,25.874,4.286,7.212,8.547
3229.5,0.096,2.607,26.296,4.228,7.185,8.547
3229.6,0.099,2.608,25.482,4.223,7.171,8.549
3229.7,0.101,2.604,27.037,4.215,7.154,8.578
3229.8,0.107,2.597,28.525,4.186,7.127,8.578
3229.9,0.114,2.59,30.814,3.864,7.106,8.578
3230.0,0.122,2.586,32.429,3.79,7.117,8.578
3230.1,0.127,2.584,33.821,3.625,7.158,8.578
3230.2,0.131,2.585,34.56,3.515,7.203,8.578
3230.3,0.135,2.585,35.059,3.434,7.242,8.578
3230.4,0.132,2.586,34.725,3.506,7.276,8.631
3230.5,0.132,2.588,35.834,3.508,7.311,8.703
3230.6,0.139,2.59,35.505,3.307,7.35,8.631
3230.7,0.142,2.593,35.693,3.116,7.384,8.578
3230.8,0.139,2.595,34.785,2.946,7.406,8.602
3230.9,0.138,2.596,34.288,2.701,7.412,8.625
3231.0,0.139,2.595,34.201,2.665,7.411,8.59
3231.1,0.136,2.593,32.631,2.891,7.424,8.616
3231.2,0.136,2.592,34.198,3.211,7.45,8.625
3231.3,0.137,2.591,34.413,3.497,7.464,8.625
3231.4,0.138,2.59,36.33,3.635,7.468,8.625
3231.5,0.138,2.59,37.096,3.679,7.466,8.625
3231.6,0.136,2.591,36.601,3.404,7.465,8.625
3231.7,0.13,2.592,34.562,3.26,7.453,8.625
3231.8,0.121,2.592,33.364,3.427,7.427,8.613
3231.9,0.114,2.593,31.091,3.617,7.413,8.578
3232.0,0.105,2.594,28.525,3.88,7.425,8.578
3232.1,0.098,2.596,25.789,4.203,7.45,8.564
3232.2,0.096,2.599,23.539,4.443,7.462,8.547
3232.3,0.096,2.602,22.455,4.645,7.447,8.551
3232.4,0.097,2.604,22.558,4.712,7.432,8.547
3232.5,0.1,2.604,23.288,4.644,7.445,8.556
3232.6,0.101,2.6,24.347,4.468,7.469,8.578
3232.7,0.104,2.596,25.332,4.14,7.48,8.578
3232.8,0.108,2.593,25.434,4.048,7.479,8.578
3232.9,0.112,2.59,25.758,3.862,7.48,8.578
3233.0,0.116,2.588,25.924,4.248,7.492,8.578
3233.1,0.118,2.587,26.59,4.101,7.516,8.578
3233.2,0.113,2.586,27.48,4.009,7.55,8.606
3233.3,0.109,2.588,26.658,3.983,7.595,8.606
3233.4,0.103,2.59,25.533,3.915,7.64,8.615
3233.5,0.1,2.593,23.831,4.096,7.643,8.578
3233.6,0.095,2.596,24.228,4.236,7.575,8.578
3233.7,0.09,2.597,21.9,4.279,7.471,8.578
3233.8,0.086,2.598,20.714,4.587,7.399,8.578
3233.9,0.082,2.599,20.138,4.881,7.385,8.578
3234.0,0.079,2.602,18.404,4.855,7.401,8.578
3234.1,0.078,2.607,16.941,4.85,7.411,8.578
3234.2,0.081,2.61,16.394,4.861,7.412,8.552
3234.3,0.083,2.611,16.287,4.891,7.42,8.547
3234.4,0.087,2.611,17.167,4.949,7.43,8.547
3234.5,0.09,2.609,19.168,4.945,7.431,8.578
3234.6,0.096,2.606,21.577,4.973,7.429,8.578
3234.7,0.102,2.6,24.071,4.766,7.447,8.578
3234.8,0.107,2.594,25.84,4.513,7.472,8.578
3234.9,0.11,2.588,26.727,4.354,7.471,8.578
3235.0,0.114,2.583,25.723,4.334,7.424,8.578
3235.1,0.118,2.579,26.062,4.188,7.352,8.578
3235.2,0.122,2.576,28.367,3.762,7.299,8.578
3235.3,0.123,2.576,28.454,3.691,7.275,8.578
3235.4,0.122,2.578,28.311,3.937,7.276,8.578
3235.5,0.12,2.579,28.338,3.915,7.298,8.578
3235.6,0.116,2.579,26.554,3.954,7.314,8.578
3235.7,0.114,2.576,25.532,3.78,7.304,8.578
3235.8,0.113,2.572,26.078,3.826,7.267,8.578
3235.9,0.114,2.571,26.135,3.572,7.237,8.578
3236.0,0.115,2.572,26.661,3.76,7.236,8.578
3236.1,0.118,2.573,26.428,3.687,7.261,8.568
3236.2,0.115,2.573,25.239,3.643,7.299,8.578
3236.3,0.115,2.572,25.919,3.629,7.334,8.578
3236.4,0.117,2.572,25.628,3.587,7.357,8.578
3236.5,0.115,2.572,26.346,3.522,7.367,8.597
3236.6,0.117,2.574,27.203,3.425,7.359,8.625
3236.7,0.12,2.575,26.147,3.38,7.34,8.586
3236.8,0.12,2.575,25.289,3.325,7.325,8.578
3236.9,0.12,2.573,26.494,3.303,7.342,8.578
3237.0,0.119,2.572,26.19,3.304,7.398,8.578
3237.1,0.119,2.574,25.725,3.279,7.47,8.578
3237.2,0.119,2.578,25.687,3.348,7.511,8.578
3237.3,0.118,2.582,25.661,3.274,7.491,8.578
3237.4,0.118,2.583,25.512,3.243,7.433,8.578
3237.5,0.118,2.58,24.995,3.191,7.408,8.578
3237.6,0.118,2.576,24.917,3.359,7.476,8.578
3237.7,0.118,2.574,24.762,3.299,7.625,8.578
3237.8,0.116,2.578,23.39,3.305,7.763,8.578
3237.9,0.115,2.586,22.578,3.449,7.788,8.578
3238.0,0.115,2.593,21.941,3.428,7.673,8.566
3238.1,0.114,2.594,22.029,3.402,7.49,8.553
3238.2,0.114,2.589,22.983,3.315,7.353,8.578
3238.3,0.119,2.581,23.826,3.207,7.3,8.578
3238.4,0.124,2.575,26.139,3.208,7.281,8.578
3238.5,0.128,2.571,27.49,3.117,7.233,8.578
3238.6,0.131,2.568,28.674,3.064,7.158,8.578
3238.7,0.133,2.565,29.706,3.074,7.1,8.578
3238.8,0.133,2.564,31.822,3.075,7.093,8.578
3238.9,0.133,2.565,33.708,2.959,7.139,8.578
3239.0,0.132,2.566,34.011,3.034,7.218,8.578
3239.1,0.131,2.567,32.347,3.09,7.32,8.578
3239.2,0.128,2.568,30.114,3.065,7.41,8.61
3239.3,0.124,2.569,30.295,3.085,7.444,8.672
3239.4,0.122,2.569,29.535,3.15,7.423,8.672
3239.5,0.12,2.569,28.307,3.191,7.384,8.651
3239.6,0.123,2.569,26.76,3.214,7.36,8.586
3239.7,0.121,2.57,26.274,3.331,7.358,8.578
3239.8,0.119,2.573,24.914,3.449,7.372,8.578
3239.9,0.118,2.576,23.625,3.427,7.4,8.578
3240.0,0.117,2.578,23.129,3.491,7.434,8.578
3240.1,0.116,2.577,22.126,3.589,7.46,8.578
3240.2,0.114,2.574,20.97,3.609,7.45,8.578
3240.3,0.112,2.571,20.814,3.644,7.398,8.578
3240.4,0.11,2.569,20.626,3.696,7.326,8.578
3240.5,0.108,2.569,20.07,3.808,7.274,8.578
3240.6,0.105,2.569,19.436,3.828,7.265,8.578
3240.7,0.104,2.572,19.134,3.892,7.281,8.578
3240.8,0.102,2.576,19.11,3.962,7.306,8.578
3240.9,0.101,2.579,18.452,3.998,7.329,8.578
3241.0,0.1,2.581,17.155,4.052,7.338,8.578
3241.1,0.098,2.581,17.187,4.078,7.331,8.578
3241.2,0.097,2.58,17.569,4.062,7.311,8.578
3241.3,0.097,2.58,18.51,4.058,7.292,8.578
3241.4,0.097,2.58,18.801,4.072,7.285,8.578
3241.5,0.099,2.582,17.812,4.103,7.293,8.557
3241.6,0.099,2.585,18.153,4.136,7.304,8.552
3241.7,0.099,2.588,18.174,4.129,7.309,8.559
3241.8,0.098,2.588,18.041,4.119,7.325,8.578
3241.9,0.099,2.587,19.546,4.111,7.354,8.578
3242.0,0.102,2.584,20.222,4.031,7.376,8.562
3242.1,0.104,2.581,20.494,4.05,7.382,8.547
3242.2,0.107,2.581,22.528,4.001,7.38,8.547
3242.3,0.112,2.585,24.85,3.965,7.381,8.547
3242.4,0.113,2.588,26.511,3.886,7.38,8.57
3242.5,0.115,2.588,28.151,3.917,7.364,8.578
3242.6,0.116,2.587,28.837,3.796,7.34,8.578
3242.7,0.117,2.588,28.559,3.754,7.32,8.578
3242.8,0.118,2.59,28.084,3.73,7.33,8.578
3242.9,0.119,2.592,28.742,3.744,7.377,8.578
3243.0,0.118,2.591,29.134,3.782,7.443,8.578
3243.1,0.115,2.59,28.999,3.789,7.5,8.578
3243.2,0.108,2.59,27.421,3.843,7.521,8.602
3243.3,0.102,2.59,25.609,3.997,7.504,8.625
3243.4,0.096,2.589,24.644,4.172,7.455,8.625
3243.5,0.094,2.587,23.972,4.379,7.387,8.59
3243.6,0.089,2.587,22.653,4.564,7.321,8.578
3243.7,0.085,2.589,21.86,4.676,7.274,8.578
3243.8,0.082,2.594,21.127,4.722,7.264,8.578
3243.9,0.081,2.598,19.683,4.797,7.278,8.578
3244.0,0.082,2.602,19.175,4.839,7.297,8.578
3244.1,0.085,2.603,20.397,4.858,7.296,8.568
3244.2,0.093,2.603,21.454,4.761,7.274,8.547
3244.3,0.098,2.601,22.005,4.605,7.242,8.547
3244.4,0.1,2.597,25.131,4.481,7.209,8.57
3244.5,0.104,2.592,27.899,4.434,7.173,8.578
3244.6,0.108,2.589,29.338,4.342,7.133,8.578
3244.7,0.112,2.587,29.584,4.218,7.102,8.578
3244.8,0.113,2.586,29.44,4.079,7.092,8.578
3244.9,0.113,2.586,29.371,4.044,7.109,8.578
3245.0,0.112,2.586,29.074,4.085,7.146,8.578
3245.1,0.113,2.588,29.334,4.177,7.188,8.578
3245.2,0.114,2.59,29.054,4.329,7.223,8.578
3245.3,0.116,2.592,28.681,4.598,7.239,8.578
3245.4,0.118,2.593,28.548,4.65,7.241,8.578
3245.5,0.12,2.592,29.209,4.532,7.238,8.578
3245.6,0.121,2.587,28.985,4.276,7.234,8.597
3245.7,0.118,2.582,28.932,4.082,7.215,8.625
3245.8,0.121,2.576,29.045,3.998,7.174,8.601
3245.9,0.12,2.572,28.569,4.213,7.131,8.578
3246.0,0.12,2.572,27.795,4.409,7.11,8.578
3246.1,0.12,2.574,26.092,4.583,7.119,8.578
3246.2,0.119,2.578,25.844,4.674,7.149,8.578
3246.3,0.118,2.584,25.199,4.593,7.193,8.578
3246.4,0.118,2.589,25.862,4.484,7.255,8.578
3246.5,0.119,2.593,27.832,4.453,7.33,8.578
3246.6,0.122,2.596,28.659,4.406,7.395,8.578
3246.7,0.126,2.599,30.839,4.426,7.459,8.578
3246.8,0.133,2.601,33.563,4.427,7.539,8.578
3246.9,0.141,2.601,35.48,4.368,7.622,8.579
3247.0,0.145,2.599,40.928,4.223,7.674,8.668
3247.1,0.155,2.595,46.851,3.983,7.681,8.672
3247.2,0.162,2.588,53.646,3.642,7.634,8.682
3247.3,0.163,2.579,56.449,3.292,7.52,8.674
3247.4,0.162,2.568,56.96,3.01,7.349,8.641
3247.5,0.155,2.561,55.776,2.864,7.19,8.625
3247.6,0.147,2.559,54.095,2.954,7.087,8.625
3247.7,0.142,2.559,52.586,3.009,7.039,8.59
3247.8,0.134,2.561,47.183,3.479,7.029,8.578
3247.9,0.128,2.564,40.707,3.852,7.038,8.578
